rank,player_id,player_name,tracked_fga,tracked_2pa,tracked_2pm,expected_2pt_makes,successful_games,failed_games,pbp_fga_global,two_fg_pct,two_xfg_pct,fg_minus_xfg_pp,xfg_coverage_pct_vs_pbp_fga
15,1629640,Keldon Johnson,689,451,286,244.683,76,6,797,63.41463414634146,54.25343680709534,9.161197339246122,86.44918444165621
16,1628368,De'Aaron Fox,913,559,338,290.19599999999997,65,7,1047,60.46511627906977,51.913416815742394,8.551699463327374,87.20152817574021
17,1630230,Naji Marshall,716,530,323,277.719,69,5,821,60.943396226415096,52.399811320754715,8.543584905660381,87.21071863580998
18,1630559,Austin Reaves,719,408,247,212.267,49,2,762,60.53921568627451,52.02622549019608,8.512990196078427,94.35695538057743
19,1641757,Jordan Miller,357,256,160,138.572,54,3,399,62.5,54.1296875,8.370312499999997,89.47368421052632
20,1629627,Zion Williamson,701,697,436,377.879,58,4,807,62.55380200860832,54.21506456241033,8.338737446197989,86.86493184634449
21,1629675,Naz Reid,833,392,227,194.742,76,1,871,57.90816326530612,49.679081632653066,8.229081632653056,95.63719862227325
22,201942,DeMar DeRozan,921,789,421,356.78700000000003,73,4,1005,53.35868187579214,45.22015209125476,8.138529784537383,91.64179104477611
23,1629130,Duncan Robinson,607,133,82,71.54400000000001,73,4,698,61.65413533834587,53.79248120300753,7.861654135338334,86.96275071633238
24,1641729,Brice Sensabaugh,695,330,199,173.39700000000002,66,8,857,60.303030303030305,52.54454545454546,7.758484848484848,81.09684947491249
25,203903,Jordan Clarkson,455,260,149,129.04999999999998,66,4,526,57.30769230769231,49.63461538461538,7.673076923076927,86.50190114068441
26,1629014,Anfernee Simons,609,249,134,114.895,53,2,648,53.81526104417671,46.1425702811245,7.672690763052209,93.98148148148148
27,202695,Kawhi Leonard,1086,695,407,353.68,59,6,1258,58.56115107913669,50.889208633093524,7.671942446043168,86.3275039745628
28,1630200,Tre Jones,513,407,254,223.035,56,9,617,62.40786240786241,54.7997542997543,7.608108108108112,83.14424635332253
29,203501,Tim Hardaway Jr.,682,201,117,101.728,74,6,778,58.208955223880594,50.610945273631835,7.598009950248759,87.66066838046272
30,1630194,Paul Reed,299,262,172,152.154,59,3,339,65.64885496183206,58.074045801526715,7.5748091603053425,88.20058997050147
31,1629655,Daniel Gafford,266,266,182,161.867,49,4,316,68.42105263157895,60.85225563909774,7.568796992481204,84.17721518987342
32,1630568,Luka Garza,315,196,133,118.41,64,3,357,67.85714285714286,60.41326530612245,7.443877551020414,88.23529411764706
33,1630198,Isaiah Joe,468,95,59,52.008,65,6,543,62.10526315789474,54.74526315789474,7.359999999999999,86.1878453038674
34,1630643,Jay Huff,545,209,154,138.738,75,5,611,73.6842105263158,66.38181818181818,7.302392344497619,89.19803600654664
35,204456,T.J. McConnell,422,374,215,188.09799999999998,54,2,450,57.48663101604278,50.29358288770053,7.193048128342248,93.77777777777777
36,1628973,Jalen Brunson,1329,853,454,393.19100000000003,70,4,1475,53.223915592028135,46.09507620164127,7.128839390386865,90.10169491525424
37,1628381,John Collins,551,368,238,212.24900000000002,62,7,659,64.67391304347827,57.676358695652176,6.997554347826089,83.61153262518968
38,1630249,Vít Krejčí,334,81,51,45.495,54,10,430,62.96296296296296,56.166666666666664,6.796296296296298,77.67441860465117
39,1628991,Jaren Jackson Jr.,619,407,218,190.865,44,4,719,53.562653562653566,46.8955773955774,6.667076167076168,86.09179415855354
40,1627750,Jamal Murray,1238,732,391,342.705,70,5,1360,53.41530054644809,46.817622950819676,6.5976775956284115,91.02941176470588
41,1628415,Dillon Brooks,878,531,275,240.19600000000003,54,2,959,51.78907721280603,45.2346516007533,6.554425612052725,91.55370177267987
42,1642349,Ajay Mitchell,509,351,199,176.005,51,6,590,56.6951566951567,50.143874643874646,6.551282051282051,86.27118644067797
43,1629008,Michael Porter Jr.,865,422,246,218.388,48,4,958,58.29383886255924,51.75071090047393,6.543127962085308,90.29227557411274
44,1630178,Tyrese Maxey,1280,757,416,366.855,64,6,1501,54.95376486129459,48.461690885072656,6.492073976221931,85.27648234510326
45,1641774,Tristan Vukcevic,285,156,94,84.172,43,3,317,60.256410256410255,53.95641025641025,6.300000000000004,89.90536277602524
46,1642366,Quinten Post,385,137,89,80.416,59,4,439,64.96350364963503,58.6978102189781,6.265693430656931,87.6993166287016
47,1630631,Jose Alvarado,366,123,69,61.31,58,8,449,56.09756097560975,49.84552845528455,6.252032520325201,81.51447661469933
48,1629004,Svi Mykhailiuk,320,109,69,62.256,46,4,362,63.30275229357798,57.11559633027523,6.18715596330275,88.39779005524862
49,1642844,Dylan Harper,582,421,250,224.334,65,4,656,59.38242280285036,53.28598574821853,6.096437054631828,88.71951219512195
50,1630217,Desmond Bane,1009,642,356,317.319,73,9,1205,55.45171339563863,49.42663551401869,6.025077881619936,83.7344398340249
51,1641713,GG Jackson,469,291,181,163.984,50,2,514,62.19931271477663,56.35189003436427,5.847422680412365,91.24513618677042
52,1626181,Norman Powell,771,414,229,205.036,55,3,895,55.31400966183575,49.52560386473429,5.788405797101454,86.14525139664805
53,1631124,Julian Strawther,259,127,69,61.735,49,5,319,54.330708661417326,48.610236220472444,5.7204724409448815,81.19122257053291
54,1630202,Payton Pritchard,991,481,272,244.93800000000002,75,4,1091,56.54885654885655,50.922661122661125,5.626195426195423,90.83409715857012
55,1629060,Rui Hachimura,563,313,181,163.575,65,3,597,57.82747603833866,52.260383386581466,5.567092651757193,94.30485762144053
56,203468,CJ McCollum,1031,573,303,271.66,73,3,1154,52.87958115183246,47.41012216404887,5.4694589877835895,89.34142114384748
57,203897,Zach LaVine,509,268,154,139.552,38,1,547,57.46268656716418,52.07164179104477,5.391044776119408,93.05301645338209
58,1630558,Davion Mitchell,431,250,142,128.805,64,6,534,56.8,51.522,5.277999999999999,80.71161048689139
59,1627742,Brandon Ingram,1157,837,441,397.52500000000003,73,4,1288,52.68817204301075,47.49402628434886,5.1941457586618895,89.82919254658385
60,1630224,Jalen Green,493,271,142,127.99,31,1,512,52.398523985239855,47.22878228782288,5.169741697416974,96.2890625
61,1631157,Ryan Rollins,912,520,276,249.17100000000002,71,3,1030,53.07692307692308,47.917500000000004,5.159423076923076,88.54368932038835
62,203084,Harrison Barnes,509,190,112,102.20100000000001,72,5,576,58.94736842105263,53.79,5.157368421052631,88.36805555555556
63,1631105,Jalen Duren,667,666,449,415.215,65,5,803,67.41741741741741,62.3445945945946,5.072822822822815,83.06351183063512
64,1626164,Devin Booker,1109,757,399,360.65500000000003,62,2,1198,52.70805812417437,47.64266842800529,5.065389696169085,92.57095158597663
65,1630583,Santi Aldama,423,236,142,130.169,40,3,476,60.16949152542373,55.1563559322034,5.013135593220333,88.8655462184874
66,1642875,Maxime Raynaud,608,543,337,310.209,70,4,671,62.06261510128913,57.12872928176796,4.933885819521173,90.61102831594634
67,1629028,Deandre Ayton,544,544,371,344.972,69,3,601,68.19852941176471,63.41397058823529,4.784558823529423,90.51580698835275
68,1630314,Brandon Williams,535,394,227,208.294,62,4,617,57.61421319796954,52.86649746192894,4.747715736040604,86.70988654781199
