rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
199,202331,Paul George,513,24,13,55,22,25.148,40.0,45.723636363636366,-5.723636363636366
200,1641796,Pelle Larsson,559,29,8,40,17,19.291,42.5,48.227500000000006,-5.727500000000006
201,1642847,Jeremiah Fears,1006,52,27,96,36,41.602,37.5,43.33541666666667,-5.835416666666667
202,1631105,Jalen Duren,803,29,13,36,17,19.125,47.22222222222222,53.125,-5.902777777777779
203,1630540,Miles McBride,404,28,6,40,15,17.384999999999998,37.5,43.46249999999999,-5.9624999999999915
204,1641783,Tristan da Silva,620,32,19,47,18,20.853,38.297872340425535,44.368085106382985,-6.07021276595745
205,1642268,Isaiah Collier,515,30,15,53,21,24.235,39.62264150943396,45.72641509433962,-6.10377358490566
206,1642267,Bub Carrington,741,48,29,61,24,27.743,39.34426229508197,45.480327868852456,-6.1360655737704874
207,1630544,Tre Mann,303,30,4,40,15,17.486,37.5,43.715,-6.215000000000003
208,1641711,Gradey Dick,383,28,15,26,11,12.665,42.30769230769231,48.71153846153846,-6.403846153846153
209,1629673,Jordan Poole,444,14,8,18,6,7.158,33.333333333333336,39.76666666666667,-6.433333333333337
210,1641712,Rayan Rupert,313,14,12,19,7,8.236,36.8421052631579,43.347368421052636,-6.505263157894738
211,1641713,GG Jackson,514,21,14,29,11,12.914,37.93103448275862,44.53103448275861,-6.599999999999994
212,1626157,Karl-Anthony Towns,1032,39,22,46,19,22.08,41.30434782608695,48.0,-6.695652173913047
213,1642450,Daniss Jenkins,568,42,15,67,26,30.503,38.80597014925373,45.526865671641794,-6.720895522388062
214,1626167,Myles Turner,646,40,12,41,16,18.776,39.02439024390244,45.79512195121951,-6.7707317073170685
215,1641716,Jarace Walker,733,43,17,69,27,31.751,39.130434782608695,46.015942028985506,-6.885507246376811
216,1627739,Kris Dunn,477,34,13,44,17,20.05,38.63636363636363,45.56818181818182,-6.931818181818187
